North American Industry Classification System (NAICS) 5,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
Industrial aggregate excluding unclassified businesses  [11-91N] 7 8,890.17,872.42,887.48,887.88,880.73,874.63,876.97,886.64,887.04,903.3,889.24,905.22,891.05,904.58,898.41,898.33,886.74,889.44,889.89,892.84,904.88,926.29,914.17,918.55,915.06,914.28,917.4,924.29,900.21,897.12,924.39,925.89,921.41,956.44,936.77,945.19,945.17,928.85,926.84,950.72,934.73,943.04,942.18,954.13,955.71,968.14,945.99,955.68,971.93,966.9,973.64,966.1,956.88,966.98,971.24,979.38,989.18,"1,004.50",998.81,"1,000.55","1,009.41","1,068.99","1,101.48","1,074.31","1,051.10","1,050.34","1,058.68","1,064.89","1,068.71","1,088.09","1,092.27","1,089.56","1,082.91","1,078.50","1,089.16","1,082.07","1,091.31","1,098.76","1,090.56","1,106.56","1,098.17","1,115.92","1,129.20","1,123.84","1,124.33","1,132.62","1,127.92","1,126.76","1,114.90","1,122.80","1,124.08","1,127.83","1,135.25","1,134.23","1,158.08","1,143.07","1,159.32","1,166.68","1,177.31","1,171.17","1,175.21","1,170.86","1,197.02","1,188.70","1,190.75","1,217.36","1,224.01","1,211.11","1,228.76","1,223.79","1,230.26","1,232.06","1,236.72","1,240.79","1,246.84","1,236.07","1,253.94","1,263.70","1,271.92"
Goods producing industries  [11-33N] 9,"1,099.20","1,071.62","1,075.02","1,093.37","1,069.43","1,061.97","1,072.74","1,098.08","1,099.70","1,102.78","1,085.25","1,098.27","1,097.28","1,109.15","1,081.58","1,080.74","1,078.73","1,095.79","1,093.65","1,089.83","1,106.06","1,147.36","1,116.91","1,131.45","1,134.90","1,090.81","1,104.42","1,111.98","1,099.18","1,074.36","1,110.53","1,131.23","1,107.46","1,189.14","1,133.57","1,158.86","1,153.62","1,106.73","1,118.38","1,161.27","1,154.30","1,144.05","1,144.49","1,165.61","1,171.71","1,205.94","1,153.33","1,168.69","1,195.37","1,188.92","1,191.51","1,186.88","1,182.84","1,190.70","1,193.87","1,180.73","1,180.67","1,228.70","1,204.97","1,212.07","1,204.71","1,224.28","1,235.87","1,224.49","1,200.72","1,218.49","1,219.33","1,222.58","1,243.55","1,274.01","1,269.42","1,287.93","1,291.19","1,256.20","1,250.96","1,265.79","1,253.29","1,281.46","1,274.26","1,307.33","1,303.55","1,335.27","1,318.30","1,307.29","1,331.24","1,289.67","1,289.90","1,305.76","1,298.55","1,284.49","1,303.99","1,315.69","1,347.05","1,320.55","1,369.51","1,374.80","1,392.07","1,378.25","1,362.15","1,365.60","1,370.88","1,368.83","1,376.97","1,397.42","1,394.82","1,408.73","1,386.21","1,392.01","1,432.88","1,416.44","1,407.54","1,412.71","1,400.53","1,417.59","1,410.76","1,398.22","1,415.11","1,393.33","1,437.26"
"Forestry, logging and support  [11N] 10","1,185.21","1,078.53","1,037.90","1,190.66","1,025.83","1,072.38","1,021.09","1,252.79","1,236.27","1,193.11","1,158.15","1,299.41","1,208.35","1,160.33","1,114.12","1,043.44","1,026.39","1,072.59","1,127.52","1,151.35","1,086.36","1,252.74","1,120.24","1,201.63","1,198.79","1,097.97","1,060.80","1,068.67","1,143.96","1,137.15","1,054.99","1,075.31","1,053.64","1,165.85","1,148.48","1,138.52","1,352.27","1,220.99",990.29,"1,255.33","1,162.06","1,176.06","1,109.24","1,292.47","1,247.76","1,201.05","1,194.70","1,299.45","1,171.42","1,083.88","1,111.81","1,287.20","1,190.44","1,236.19","1,171.02","1,156.59","1,254.04","1,291.62","1,303.29","1,279.95","1,236.20","1,279.46","1,247.67","1,131.27","1,112.77","1,221.64","1,315.27","1,158.20","1,199.99","1,302.28","1,188.85","1,307.19","1,276.43","1,226.03","1,156.43","1,204.54","1,101.11","1,263.32","1,276.34","1,364.83","1,403.69","1,371.82","1,358.33","1,334.41","1,358.64","1,272.10","1,223.27","1,253.87","1,241.16","1,352.50","1,323.51","1,278.86","1,352.65","1,330.61","1,327.01","1,356.92","1,460.38","1,417.81","1,312.26","1,270.65","1,350.55","1,374.87","1,352.08","1,444.15","1,491.16","1,403.29","1,435.78","1,508.32","1,494.60","1,314.77","1,401.32","1,304.49","1,332.72","1,426.82","1,324.58","1,358.08","1,414.67","1,465.63","1,468.65"
"Mining, quarrying, and oil and gas extraction  [21]","1,832.55","1,633.12","1,570.45","1,597.39","1,551.05","1,588.77","1,553.26","1,579.83","1,626.19","1,652.48","1,818.97","1,748.25","1,829.34","1,640.71","1,598.70","1,585.55","1,665.50","1,643.16","1,683.10","1,603.23","1,605.69","1,682.23","1,742.90","1,578.24","1,742.43","1,568.32","1,573.99","1,543.85","1,616.64","1,662.16","1,633.12","1,588.15","1,666.47","1,976.02","1,765.93","1,824.47","1,655.02","1,691.17","1,650.72","1,765.46","1,826.71","1,812.31","1,814.34","1,890.23","1,832.51","2,087.07","2,049.50","2,024.52","2,055.91","1,990.53","1,999.41","1,798.02","1,753.02","1,620.77","1,658.10","1,812.64","1,878.61","2,026.55","1,961.27","1,932.55","1,967.16","1,763.64","1,694.17","1,939.00","1,781.13","1,794.08","1,849.34","1,618.12","1,780.71","1,835.22","1,853.26","2,044.05","1,948.90","1,823.95","1,917.32","1,961.47","1,907.46","1,943.93","1,917.14","1,981.10","2,018.75","1,999.42","2,043.79","1,963.61","1,938.04","1,849.20","1,962.35","1,887.06","1,925.25","1,824.27","1,746.04","1,798.22","2,004.65","2,035.86","2,006.91","2,011.63","2,119.50","2,114.70","1,953.50","1,935.51","1,869.49","1,911.12","1,946.94","1,953.75","2,065.64","2,156.34","2,002.61","2,030.19","2,170.31","2,128.79","2,028.26","2,138.97","2,103.02","1,961.13","2,059.08","2,050.64","2,106.47","2,235.01","2,290.66"
"Utilities  [22,221]","1,587.50","1,542.33","1,456.27","1,679.64","1,535.58","1,590.81","1,454.06","1,493.68","1,464.95","1,506.25","1,605.71","1,548.59","1,740.39","1,752.84","1,679.21","1,633.71","1,524.92","1,658.79","1,599.24","1,653.08","1,674.45","1,713.81","1,659.97","1,887.69","1,630.77","1,558.39","1,662.81","1,777.58","1,768.48","1,643.56","1,721.79","1,735.03","1,702.23","1,780.60","1,887.17","1,949.27","1,661.91","1,760.32","1,757.69","2,064.34","1,719.57","1,509.69","1,637.35","1,721.81","1,771.62","1,611.71","1,743.04","1,718.18","1,836.13","1,685.21","1,782.93","1,858.62","1,792.37","1,725.33","1,782.90","1,806.44","1,691.39","1,773.55","1,926.91","1,890.64","1,841.35","1,827.21","1,987.72","2,008.59","1,547.43","1,705.57","1,643.74","1,849.59","1,742.03","1,754.90","1,898.99","1,880.31","1,691.96","1,858.92","1,741.82","1,985.75","1,736.97","1,842.34","1,647.98","1,816.10","1,860.69","1,740.96","1,854.17","1,972.94","1,925.38","1,833.70","1,843.58","1,925.45","1,850.45","1,792.53","1,818.84","1,907.78","1,901.88","1,782.55","1,919.19","2,042.25","2,045.15","2,006.46","1,975.34","2,003.40","2,009.20","1,994.52","1,995.39","2,074.07","1,949.36","1,949.17","2,195.45","2,074.71","2,079.00","2,122.78","2,053.42","2,108.95","2,105.50","2,197.58","2,179.10","2,244.75","2,121.64","2,183.11","2,222.00"
Construction  [23],"1,062.43","1,050.54","1,065.88","1,085.10","1,074.13","1,054.66","1,080.13","1,071.31","1,078.19","1,079.81","1,023.22","1,052.15","1,045.24","1,060.70","1,049.77","1,070.16","1,051.52","1,065.12","1,046.83","1,061.03","1,078.15","1,134.22","1,062.59","1,079.77","1,089.53","1,050.10","1,088.19","1,071.66","1,044.28","1,026.31","1,094.34","1,117.30","1,095.14","1,139.14","1,091.66","1,101.28","1,104.41","1,059.13","1,109.18","1,139.32","1,155.59","1,136.00","1,144.87","1,165.61","1,179.98","1,183.37","1,111.84","1,104.13","1,150.92","1,157.05","1,171.21","1,163.73","1,181.91","1,189.71","1,194.59","1,161.48","1,174.01","1,217.70","1,164.85","1,197.48","1,199.37","1,212.97","1,240.56","1,232.16","1,223.23","1,232.88","1,224.48","1,248.37","1,259.14","1,287.30","1,273.71","1,275.37","1,311.02","1,265.53","1,243.48","1,250.45","1,272.13","1,283.22","1,283.32","1,321.13","1,307.37","1,328.84","1,310.19","1,303.82","1,326.37","1,286.42","1,282.86","1,313.08","1,311.72","1,281.44","1,347.27","1,334.21","1,365.48","1,320.13","1,366.12","1,342.74","1,366.69","1,362.56","1,372.07","1,370.53","1,391.33","1,383.05","1,388.05","1,427.00","1,419.11","1,404.03","1,377.65","1,381.45","1,427.28","1,418.76","1,413.47","1,416.77","1,397.11","1,424.17","1,397.59","1,391.76","1,404.44","1,336.03","1,419.30"
Manufacturing  [31-33],989.76,985.05,"1,000.43",987.18,979.74,965.3,983.05,"1,015.81","1,008.07","1,016.00","1,008.26","1,009.56","1,002.63","1,045.60","1,011.44","1,000.87","1,012.52","1,027.43","1,030.83","1,010.04","1,036.50","1,041.24","1,050.39","1,063.65","1,058.81","1,034.96","1,025.16","1,056.37","1,036.60",998.44,"1,022.76","1,053.69","1,015.59","1,098.31","1,032.68","1,069.29","1,076.29","1,017.71","1,025.02","1,022.30","1,018.57","1,030.04","1,017.01","1,009.13","1,018.92","1,078.50","1,030.09","1,064.60","1,077.04","1,086.98","1,068.25","1,066.73","1,062.00","1,088.74","1,088.35","1,073.71","1,054.46","1,094.51","1,088.48","1,079.03","1,058.07","1,105.58","1,098.49","1,067.37","1,082.50","1,085.12","1,084.61","1,095.57","1,114.89","1,140.39","1,141.32","1,147.43","1,147.39","1,120.74","1,138.90","1,136.09","1,123.68","1,143.51","1,140.67","1,150.89","1,145.02","1,211.13","1,180.37","1,164.30","1,201.39","1,175.02","1,168.37","1,168.60","1,147.44","1,155.07","1,136.32","1,171.61","1,174.00","1,168.95","1,227.92","1,258.20","1,243.49","1,222.89","1,210.33","1,221.95","1,211.20","1,208.53","1,219.64","1,206.40","1,191.42","1,240.06","1,220.82","1,228.58","1,251.85","1,242.31","1,242.33","1,233.71","1,234.44","1,251.18","1,264.57","1,231.54","1,253.88","1,253.12","1,241.42"
Service producing industries  [41-91N] 11,850.98,834.95,851.41,848.16,842.76,837.04,838.9,845.81,846.63,866.02,853.54,869.89,853.06,866.79,864.17,863.82,849.1,848.8,850.89,855.44,866.94,884.62,876.96,878.57,873.55,881.08,881.84,888.11,860.69,861.3,888.13,886.47,885.82,912.08,899.92,904.82,905.72,895.15,889.87,909.41,889.91,901.67,902.3,912.59,913.3,922.05,906.45,914.69,929.31,924.27,931.11,922.78,911.25,921.66,928.03,940.57,952.36,962.01,960.53,961.09,972.73,"1,038.32","1,073.77","1,043.51","1,020.02","1,014.87","1,026.32","1,033.10","1,033.81","1,050.79","1,057.05","1,049.93","1,041.45","1,042.82","1,056.17","1,044.47","1,057.36","1,060.28","1,053.59","1,066.61","1,057.76","1,073.01","1,093.15","1,088.35","1,084.56","1,102.35","1,096.47","1,091.80","1,078.09","1,090.06","1,089.21","1,091.57","1,094.82","1,099.02","1,119.10","1,099.93","1,116.21","1,127.34","1,142.49","1,134.35","1,136.80","1,131.64","1,162.83","1,149.56","1,152.83","1,181.96","1,194.61","1,178.28","1,191.63","1,188.57","1,197.37","1,198.09","1,204.91","1,206.06","1,216.08","1,205.91","1,224.16","1,239.95","1,241.97"
Trade  [41-45N] 12,682.05,669.98,683.21,677.61,686.23,688.04,670.53,669.08,672.41,701.08,684.65,706.85,695.1,706.32,709.8,694.06,694.54,695.24,684.07,682.4,671.35,693.11,692.52,687.5,698.05,701.37,699.77,715.7,705.97,699.04,706.74,708.33,701.02,738.47,717.56,743.92,764.43,742.9,719.02,731,728.54,743.96,727.31,749.43,748.33,760.23,726.44,709.07,739.15,734.42,741.01,751.35,740.99,747.93,752.12,769.87,775.17,771.83,769.38,753.52,753.67,791.19,804.19,821.47,813.34,812.43,814.48,802.11,794.72,808.87,819.24,812.39,794.79,797.16,822.88,813.84,820.29,838.92,821.77,840.52,827.94,844.49,869.45,883.58,886.69,887.8,874.51,877.88,877.13,871.13,870.18,874.88,883.1,871.45,861.1,862.14,872.15,882.86,893.49,873.85,893.16,874.77,900.29,895.06,888.39,906.61,915.27,915.31,932.5,952.52,936.85,935,937.45,942.69,929.82,918.57,923.15,930.03,923.16
Transportation and warehousing  [48-49],"1,002.35","1,016.38","1,039.52","1,012.24","1,014.14",994.31,984.74,"1,024.31","1,019.68","1,047.14",985.71,"1,015.57","1,014.76","1,044.33","1,042.17","1,029.59",979.42,985.48,998.14,984.78,"1,009.93","1,034.18","1,003.59","1,007.68","1,037.84","1,053.49","1,076.30","1,063.26","1,036.19","1,044.12","1,060.38","1,031.50","1,044.99","1,051.67","1,041.56","1,038.91","1,048.21","1,083.28","1,052.87","1,046.15","1,051.25","1,060.85","1,048.90","1,055.47","1,069.44","1,062.87","1,042.98","1,075.36","1,046.99","1,108.33","1,094.77","1,101.03","1,091.64","1,092.67","1,089.39","1,063.87","1,097.01","1,107.13","1,114.62","1,149.09","1,125.53","1,146.31","1,140.51","1,162.74","1,142.85","1,169.55","1,168.81","1,176.22","1,162.34","1,175.55","1,174.67","1,207.97","1,192.85","1,188.90","1,167.28","1,149.60","1,204.45","1,209.98","1,170.95","1,169.91","1,165.54","1,146.38","1,191.46","1,220.47","1,212.87","1,210.43","1,231.03","1,247.31","1,247.20","1,237.73","1,237.39","1,232.30","1,246.44","1,171.75","1,206.02","1,214.40","1,227.79","1,253.80","1,270.23","1,260.39","1,264.33","1,227.34","1,233.78","1,237.65","1,232.20","1,260.17","1,250.06","1,259.48","1,288.02","1,293.53","1,285.96","1,281.64","1,284.11","1,319.18","1,317.83","1,317.97","1,341.68","1,338.30","1,364.14"
